abandon,porzucić
hers,jej
herself,się
hesitate,wahać się
hi,cześć
hide,ukryć
high,wysoki
highlight,atrakcja
highly,wysoko
highway,Autostrada
hill,wzgórze
him,mu
himself,samego siebie
hip,cześć p
hire,zatrudnić
hire out,wynajmować
his,jego
historical,historyczny
history,historia
hit,trafienie
hobby,hobby
hold,trzymać
hold back,powstrzymywać się
hold on,czekaj
hold on to,trzymaj się
hold out,wytrzymać
hold up,wstrzymać
hole,otwór
holiday,święto
hollow,wydrążony
holy,święty
home,Dom
homework,Praca domowa
honest,szczery
honestly,szczerze
honour,zaszczyt
hook,hak
hope,nadzieja
horizontal,poziomy
horn,róg
horror,przerażenie
horse,koń
hospital,szpital
host,gospodarz
hot,gorąco
hotel,hotel
hour,godzina
house,dom
household,gospodarstwo domowe
housing,mieszkaniowy
how,w jaki sposób
however,jednak
huge,olbrzymi
human,człowiek
humorous,humorystyczny
humour,humor
hundred,sto
hundredth,setny
hungry,głodny
hunt,polowanie
hunting,polowanie
hurry,pośpiech
hurry up,Pośpiesz się
hurt,ból
husband,mąż
I,ja
ice,lód
ice cream,lody
idea,pomysł
ideal,ideał
identify,zidentyfikować
identify with,identyfikować z
identity,tożsamość
i.e.,to znaczy
if,gdyby
ignore,ignorować
ill,chory
illegal,nielegalny
illegally,nielegalnie
illness,choroba
illustrate,zilustrować
image,wizerunek
imaginary,wyimaginowany
imagination,wyobraźnia
imagine,wyobrażać sobie
immediate,natychmiastowy
immediately,natychmiast
immoral,niemoralny
impact,wpływ
impatient,Niecierpliwy
implication,implikacja
imply,sugerować
import,import
importance,znaczenie
important,ważny
importantly,najważniejsze
impose,narzucać
impossible,niemożliwy
impress,imponować
impressed,pod wrażeniem
impression,wrażenie
impressive,imponujący
improve,ulepszać
improvement,poprawa
in,w
inability,niemożność
inch,cal
incident,incydent
include,zawierać
including,włącznie z
income,dochód
increase,zwiększać
increasingly,coraz częściej
indeed,w rzeczy samej
independence,niezależność
independent,niezależny
independently,niezależnie
index,indeks
indicate,wskazać
indication,wskazanie
indirect,pośredni
indirectly,pośrednio
individual,indywidualny
indoor,wnętrz
indoors,wewnątrz
industrial,przemysłowy
industry,przemysł
inevitable,nieunikniony
inevitably,nieuchronnie
infect,infekować
infected,zarażony
infection,infekcja
infectious,zakaźny
influence,wpływ
inform,poinformować
informal,nieformalny
information,Informacja
ingredient,składnik
initial,Inicjał
initially,początkowo
initiative,inicjatywa
injure,zranić
injured,ranny
injury,zranienie
ink,atrament
inner,wewnętrzny
innocent,niewinny
insect,owad
insert,wstawić
inside,wewnątrz
insist,obstawać
insist on,nalegać na
insist on doing,domagać się robi
install,zainstalować
instance,instancja
instead,zamiast
instead of,zamiast
institute,instytut
institution,instytucja
instruction,instrukcja
instrument,instrument
insult,zniewaga
insulting,obraźliwy
insurance,ubezpieczenie
intelligence,inteligencja
intelligent,inteligentny
intend,zamierzać
intended,zamierzony
intention,zamiar
interest,zainteresowanie
interested,zainteresowany
interesting,ciekawy
interior,wnętrze
internal,wewnętrzny
international,międzynarodowy
Internet,Internet
interpret,interpretować
interpretation,interpretacja
interrupt,przerwać
interruption,przerwanie
interval,interwał
interview,wywiad
into,w
introduce,przedstawiać
introduction,wprowadzenie
invent,wymyślać
invention,wynalazek
invest,inwestować
investigate,zbadać
investigation,dochodzenie
investment,inwestycja
invitation,zaproszenie
invite,Zapraszam
involve,angażować
involved,zaangażowany
involvement,uwikłanie
iron,żelazo
irritate,irytować
irritated,poirytowany
irritating,irytujący
island,wyspa
issue,kwestia
it,to
item,pozycja
its,jego
itself,samo
jacket,kurtka
jam,dżem
January,styczeń
jealous,zazdrosny
jeans,dżinsy
jelly,galareta
jewellery,biżuteria
job,praca
join,Przystąp
join in,dołączyć
joint,połączenie
jointly,wspólnie
joke,żart
journalist,dziennikarz
journey,podróż
joy,radość
judge,sędzia
judgement,osąd
juice,sok
July,lipiec
jump,skok
June,czerwiec
junior,junior
just,właśnie
justice,sprawiedliwość
justified,usprawiedliwiony
justify,uzasadniać
keen,zapalony
keep,trzymać
keep out,nie wchodzić
keep out of,trzymaj się z dala od
keep up,nadążać
keep up with,nadążyć
key,klucz
keyboard,klawiatura
kick,kopnięcie
kid,dziecko
kill,zabić
killing,zabicie
kilogram,kilogram
kilometre,kilometr
kind,uprzejmy
kindly,uprzejmie
kindness,życzliwość
king,król
kiss,pocałunek
kitchen,kuchnia
knee,kolano
knife,nóż
knit,robić na drutach
knitted,trykotowy
knitting,robienie na drutach
knock,pukanie
knock down,powalić
knock out,Nokaut
knot,węzeł
know,wiedzieć
knowledge,"wiedza, umiejętności"
lab,laboratorium
label,etykieta
laboratory,laboratorium
labour,rodzić
lack,brak
lacking,brakuje
lady,dama
lake,jezioro
lamp,lampa
land,wylądować
landscape,krajobraz
lane,pas ruchu
language,język
large,duży
largely,w dużej mierze
last,ostatnio
late,późno
later,później
latest,najnowszy
latter,końcowy
laugh,śmiech
laugh at,śmiać się z
launch,uruchomić
law,prawo
lawyer,prawnik
lay,kłaść
layer,warstwa
lazy,leniwy
lead,prowadzić
leader,lider
leading,prowadząc
leaf,liść
league,liga
lean,pochylać się
learn,uczyć się
least,najmniej
leather,Skórzany
leave,wyjechać
leave out,pomijać
lecture,wykład
left,lewo
leg,noga
legal,prawny
legally,prawnie
lemon,cytrynowy
lend,wypożyczać
length,długość
less,mniej
lesson,lekcja
let,pozwolić
let down,rozczarowanie
let off,wypuszczać
letter,list
level,poziom
library,biblioteka
licence,licencja
license,licencja
lid,pokrywa
lie,kłamstwo
lie around,poniewierać się
lie down,połóż się
life,życie
lift,winda
light,światło
lightly,lekko
like,lubić
likely,prawdopodobne
limit,limit
limited,ograniczony
limit to,ograniczone do
line,linia
link,połączyć
lip,warga
liquid,ciekły
list,lista
listen,słuchać
literature,literatura
litre,litr
little,mało
live,na żywo
lively,żywy
live on,Żyj dalej
live through,przeżyć
live together,żyć razem
living,życie
load,Załaduj
loan,pożyczka
local,lokalny
locally,lokalnie
locate,Znajdź
located,usytuowany
location,Lokalizacja
lock,zamek
lock up,zamknąć
logic,logika
logical,logiczny
lonely,samotny
long,długo
look,Popatrz
look after,opiekować się
look at,patrzeć na
look down on,patrzeć z góry
look forward to,Oczekiwać
look into,zbadać
look on,Spójrz na
look on with,przyglądać się
look out,Uważaj
look out for,wypatrywać
look round,Rozejrzyj się
look through,spojrzeć przez
look up,sprawdzać
look up to,szanować
loose,luźny
loosely,luźno
lord,Lord
lorry,ciężarówka
lose,stracić
loss,utrata
lost,Stracony
lot,los
loud,głośny
loudly,głośno
love,miłość
lovely,śliczny
lover,kochanek
low,Niska
loyal,wierny
luck,szczęście
lucky,Szczęściarz
luggage,bagaż
lump,guzek
lunch,lunch
lung,płuco
machine,maszyna
machinery,maszyneria
mad,szalony
magazine,czasopismo
magic,magia
mail,Poczta
main,Główny
mainly,głównie
maintain,utrzymać
major,poważny
majority,większość
make,robić
make into,przekształcić
make up,makijaż
make-up,makijaż
make up for,wynagradzać
male,męski
mall,centrum handlowe
man,mężczyzna
manage,zarządzać
management,zarządzanie
manager,menedżer
manner,sposób
manufacture,produkcja
manufacturer,producent
manufacturing,produkcja
many,wiele
map,mapa
march,Marsz
March,Marsz
mark,znak
market,rynek
marketing,marketing
marriage,małżeństwo
married,żonaty
marry,ożenić
mass,masa
massive,masywny
master,mistrz
match,mecz
matching,pasujący
match up,dopasować
mate,kumpel
material,materiał
mathematics,matematyka
matter,materia
maximum,maksymalny
may,może
May,Może
maybe,może
mayor,burmistrz
me,mnie
meal,posiłek
mean,oznaczać
meaning,znaczenie
means,znaczy
meanwhile,W międzyczasie
measure,pomiar
measurement,pomiary
meat,mięso
media,głoska bezdźwięczna
medical,medyczny
medicine,lekarstwo
medium,średni
meet,spotykać się
meeting,spotkanie
meet up,spotkać się
meet with,spotkać się z
melt,topnieć
member,członek
membership,członkostwo
memory,pamięć
mental,psychiczny
mentally,umysłowo
mention,wzmianka
menu,menu
mere,sam
merely,jedynie
mess,bałagan
message,wiadomość
metal,metal
method,metoda
metre,metr
mid-,Środek-
midday,południe
middle,środkowy
midnight,północ
might,móc
mild,łagodny
mile,mila
military,wojskowy
milk,mleko
milligram,miligram
millimetre,milimetr
million,milion
millionth,milionowy
mind,umysł
mine,kopalnia
mineral,minerał
minimum,minimum
minister,minister
ministry,ministerstwo
minor,mniejszy
minority,mniejszość
minute,minuta
mirror,lustro
miss,chybienie
missing,brakujący
miss out,przegapić
mistake,błąd
mistake for,błędem
mistaken,błędny
mix,mieszać
mixed,mieszany
mixture,mieszanina
mix up,mieszać
mobile,mobilny
mobile phone,telefon komórkowy
model,model
modern,nowoczesny
mom,mama
moment,za chwilę
Monday,poniedziałek
money,pieniądze
monitor,monitor
month,miesiąc
mood,nastrój
moon,księżyc
moral,morał
morally,moralnie
more,więcej
moreover,co więcej
morning,ranek
most,większość
mostly,przeważnie
mother,mama
motion,ruch
motor,silnik
motorbike,motocykl
motorcycle,motocykl
mount,uchwyt
mountain,Góra
mouse,mysz
mouth,usta
move,ruszaj się
move in,wchodzić
movement,ruch
move out,Wyprowadzać się
move over,przesuń się
movie,film
movie theater,kino
moving,w ruchu
Mr,Pan
Mrs,Pani
Ms,ms
much,wiele
mud,błoto
multiply,zwielokrotniać
mum,milczący
murder,morderstwo
muscle,mięsień
museum,muzeum
music,muzyka
musical,musical
musician,muzyk
must,musi
my,mój
myself,siebie
mysterious,tajemniczy
mystery,zagadka
nail,gwóźdź
naked,nagi
name,Nazwa
narrow,wąska
nation,naród
national,krajowy
natural,naturalny
naturally,naturalnie
nature,Natura
navy,marynarka wojenna
near,Blisko
nearby,blisko
nearly,prawie
neat,schludny
neatly,starannie
necessarily,koniecznie
necessary,niezbędny
neck,szyja
need,potrzeba
needle,igła
negative,negatywny
neighbour,sąsiad
neighbourhood,sąsiedztwo
neither,ani
nephew,bratanek
nerve,nerw
nervous,nerwowy
nervously,nerwowo
nest,gniazdo
net,netto
network,sieć
never,nigdy
nevertheless,Niemniej jednak
new,Nowy
newly,nowo
news,Aktualności
newspaper,Gazeta
next,Kolejny
next to,obok
nice,ładny
nicely,ładnie
niece,siostrzenica
night,noc
nine,dziewięć
nineteen,dziewiętnaście
nineteenth,dziewiętnasty
ninetieth,ninetieth
ninety,dziewięćdziesiąt
ninth,dziewiąty
no,Nie
nobody,nikt
noise,hałas
noisily,hałaśliwie
noisy,głośny
non-,nie-
none,Żaden
nonsense,nonsens
no one,nikt
nor,ani
normal,normalna
normally,normalnie
north,północ
northern,północny
nose,nos
not,nie
note,Uwaga
note down,zapisać
nothing,nic
notice,ogłoszenie
noticeable,zauważalny
novel,powieść
November,listopad
now,teraz
nowhere,nigdzie
nuclear,jądrowy
number,numer
nurse,pielęgniarka
nut,orzech
obey,być posłusznym
object,obiekt
objective,cel
observation,obserwacja
observe,przestrzegać
obtain,uzyskać
obvious,oczywisty
obviously,oczywiście
occasion,okazja
occasionally,sporadycznie
occupied,zajęty
occupy,zająć
occur,pojawić się
occur to,wystąpić do
ocean,ocean
o’clock,godzina
October,październik
odd,dziwny
oddly,dziwnie
of,z
off,poza
offence,wykroczenie
offend,obrazić
offense,wykroczenie
offensive,ofensywa
offer,oferta
office,gabinet
officer,oficer
official,urzędnik
officially,oficjalnie
often,często
oh,O
oil,olej
OK,dobrze
old,stary
old-fashioned,staromodny
on,na
once,pewnego razu
one,jeden
one another,nawzajem
onion,cebula
online,online
only,tylko
onto,na
open,otwarty
opening,otwarcie
openly,otwarcie
open up,otworzyć
operate,obsługiwać
operation,operacja
opinion,opinia
opponent,przeciwnik
opportunity,okazja
oppose,sprzeciwiać się
opposed,przeciwny
opposing,przeciwstawiając
opposite,naprzeciwko
opposition,sprzeciw
option,opcja
or,lub
orange,Pomarańczowy
order,zamówienie
ordinary,zwyczajny
organ,organ
organization,organizacja
organize,zorganizować
organized,zorganizowany
origin,pochodzenie
original,oryginalny
originally,pierwotnie
other,inny
otherwise,Inaczej
ought to,powinien
our,nasz
ours,nasz
ourselves,my sami
out,na zewnątrz
outdoor,na wolnym powietrzu
outdoors,na dworze
outer,zewnętrzny
outline,zarys
output,wynik
outside,na zewnątrz
outstanding,wybitny
oven,piekarnik
over,nad
overall,ogólny
overcome,przezwyciężać
owe,zawdzięczać
own,posiadać
owner,właściciel
own up,przyznać się
pace,tempo
pack,Pakiet
package,pakiet
packaging,opakowania
packet,paczka
pack up,pakuj się
page,strona
pain,ból
painful,bolesny
paint,farba
painter,malarz
painting,obraz
pair,para
palace,pałac
pale,blady
pan,patelnia
panel,płyta
pants,Spodnie
paper,papier
parallel,równolegle
parent,rodzic
park,park
parliament,parlament
part,część
particular,szczególny
particularly,szczególnie
partly,częściowo
partner,partner
partnership,Współpraca
party,przyjęcie
pass,przechodzić
passage,przejście
pass away,odejść
pass by,mijać
passenger,pasażer
passing,przechodzący
pass on,przekazać dalej
pass out,zemdleć
passport,paszport
pass round,przechodzą runda
pass through,Przejść przez
past,przeszłość
path,ścieżka
patience,cierpliwość
patient,cierpliwy
pattern,wzór
pause,pauza
pay,zapłacić
pay back,Zemsta
payment,Zapłata
pay out,wypłacić
pay up,zapłacić
peace,pokój
peaceful,spokojna
peak,szczyt
pen,długopis
pencil,ołówek
penny,grosz
pension,emerytura
people,ludzie
pepper,pieprz
per,za
per cent,procent
perfect,doskonały
perfectly,doskonale
perform,wykonać
performance,występ
performer,wykonawca
perhaps,być może
period,Kropka
permanent,stały
permanently,na stałe
permission,pozwolenie
permit,pozwolić
person,osoba
personal,osobisty
personality,osobowość
personally,osobiście
persuade,namawiać
pet,zwierzę domowe
petrol,benzyna
phase,faza
philosophy,filozofia
phone,telefon
photo,zdjęcie
photocopy,kserokopia
photograph,sfotografować
photographer,fotograf
photography,fotografia
phrase,wyrażenie
physical,fizyczny
physically,fizycznie
physics,fizyka
piano,fortepian
pick,wybierać
pick up,odebrać
picture,obrazek
piece,kawałek
pig,świnia
pile,stos
pile up,spiętrzyć
pill,pigułka
pilot,pilot
pin,kołek
pink,różowy
pint,pół kwarty
pipe,rura
pitch,smoła
pity,szkoda
place,miejsce
plain,Równina
plan,plan
plane,samolot
planet,planeta
planning,planowanie
plant,roślina
plastic,Plastikowy
plate,talerz
platform,Platforma
play,grać
play about,Graj o
player,gracz
play with,bawić się
pleasant,przyjemne
pleasantly,przyjemnie
please,Proszę
pleased,zadowolony
pleasing,przyjemny
pleasure,przyjemność
plenty,dużo
plot,wątek
plug,wtyczka
plug in,podłącz
plus,plus
p.m.,po południu
pocket,kieszeń
poem,wiersz
poetry,poezja
point,punkt
pointed,spiczasty
point out,zwrocic uwage
poison,zatruć
poisonous,trujący
pole,Polak
police,Policja
policy,polityka
polish,Polskie
polite,uprzejmy
politely,grzecznie
political,polityczny
politically,politycznie
politician,polityk
politics,Polityka
pollution,zanieczyszczenie
pool,basen
poor,ubogi
pop,Muzyka pop
popular,popularny
population,populacja
port,Port
pose,poza
position,pozycja
positive,pozytywny
possess,posiadać
possession,posiadanie
possibility,możliwość
possible,możliwy
possibly,możliwie
post,Poczta
post office,Poczta
pot,garnek
potato,Ziemniak
potential,potencjał
potentially,potencjalnie
pound,funt
pour,wlać
powder,proszek
power,moc
powerful,potężny
practical,praktyczny
practically,praktycznie
practice,ćwiczyć
practise,ćwiczyć
praise,pochwała
pray,módl się
prayer,modlitwa
precise,precyzyjny
precisely,dokładnie
predict,"przepowiadać, wywróżyć"
prefer,woleć
preference,pierwszeństwo
pregnant,w ciąży
premises,lokal
preparation,przygotowanie
prepare,przygotować
prepared,przygotowany
presence,obecność
present,obecny
presentation,prezentacja
preserve,zachować
president,prezydent
press,naciśnij
pressure,nacisk
presumably,prawdopodobnie
pretend,stwarzać pozory
pretty,ładny
prevent,zapobiec
previous,poprzedni
previously,poprzednio
price,Cena £
pride,duma
priest,kapłan
primarily,głównie
primary,podstawowy
prime minister,premier
prince,książę
princess,księżniczka
principle,zasada
print,wydrukować
printer,drukarka
printing,druk
print off,wydrukować
prior,wcześniejszy
priority,priorytet
prison,więzienie
prisoner,więzień
private,prywatny
privately,prywatnie
prize,nagroda
probable,prawdopodobny
probably,prawdopodobnie
problem,problem
procedure,procedura
proceed,kontynuować
process,proces
produce,produkować
producer,producent
product,produkt
production,produkcja
profession,zawód
professional,profesjonalny
professor,profesor
profit,zysk
program,program
programme,program
progress,postęp
project,projekt
promise,obietnica
promote,promować
promotion,awans
prompt,skłonić
promptly,natychmiast
pronounce,wymawiać
pronunciation,wymowa
proof,dowód
proper,właściwy
properly,prawidłowo
property,własność
proportion,proporcja
proposal,wniosek
propose,zaproponować
prospect,perspektywa
protect,ochraniać
protection,ochrona
protest,protest
proud,dumny
proudly,dumnie
prove,okazać się
provide,zapewniać
provided,opatrzony
providing,dostarczanie
pub,pub
public,publiczny
publication,publikacja
publicity,reklama
publicly,publicznie
publish,publikować
publishing,wydawniczy
pull,Ciągnąć
pull apart,rozerwać
pull down,"rozbierać, opuszczać"
pull in,wciągać
pull off,ściągać
pull out,wyciągać
pull over,zjechać na pobocze
pull through,wyzdrowieć
pull together,współdziałać
pull up,zatrzymać się
punch,stempel
punish,karać
punishment,kara
pupil,uczeń
purchase,zakup
pure,czysty
purely,czysto
purple,fioletowy
purpose,"cel, powód"
pursue,kontynuować
push,Pchać
push about,pchnąć o
push forward,pchnąć do przodu
put,położyć
put away,odłożyć
put back,położyć z powrotem
put down,położyć
put forward,podniesionych
put in,wtrącić
put off,odkładać
put on,umieścić na
put out,zgasić
put through,połączyć telefonicznie
put together,Położyć razem
put up,wznieść
put up with,tolerować
qualification,kwalifikacja
qualified,wykwalifikowany
qualify,zakwalifikować
quality,jakość
quantity,Ilość
quarter,jedna czwarta
queen,królowa
question,pytanie
quick,szybki
quickly,szybko
quiet,cichy
quietly,cicho
quit,porzucić
quite,całkiem
quote,zacytować
race,wyścigi
racing,wyścigi
radio,radio
rail,szyna
railroad,popędzać
railway,kolej żelazna
rain,deszcz
raise,podnieść
range,zasięg
rank,ranga
rapid,nagły
rapidly,szybko
rare,rzadko spotykany
rarely,rzadko
rate,oceniać
rather,raczej
raw,surowy
re-,re-
reach,dosięgnąć
react,reagować
reaction,odczyn
read,czytać
reader,czytelnik
reading,czytanie
read out,odczytać
read over,Przeczytane
ready,gotowy
real,real
realistic,realistyczny
reality,rzeczywistość
realize,realizować
really,naprawdę
rear,tylny
reason,powód
reasonable,rozsądny
reasonably,rozsądnie
recall,odwołanie
receipt,paragon
receive,otrzymać
recent,niedawny
recently,niedawno
reception,Przyjęcie
reckon,liczyć się
reckon on,spodziewać się
recognition,uznanie
recognize,rozpoznać
recommend,polecić
record,rekord
recording,nagranie
recover,wyzdrowieć
red,czerwony
reduce,redukować
reduction,zmniejszenie
refer,odnosić się
reference,odniesienie
refer to,odnosić się do
reflect,odzwierciedlić
reform,reforma
refrigerator,lodówka
refusal,odmowa
refuse,odmówić
regard,uważać
regarding,Jeżeli chodzi o
region,region
regional,regionalny
register,zarejestrować
regret,żal
regular,regularny
regularly,regularnie
regulation,rozporządzenie
reject,odrzucać
relate,odnosić się
related,związane z
relate to,dotyczą
relation,relacja
relationship,związek
relative,krewny
relatively,stosunkowo
relax,zrelaksować się
relaxed,zrelaksowany
relaxing,odprężający
release,wydanie
relevant,istotnych
relief,ulga
religion,religia
religious,religijny
rely,polegać
rely on,polegać na
remain,pozostawać
remaining,pozostały
remains,pozostaje
remark,uwaga
remarkable,znakomity
remarkably,wybitnie
remember,Zapamiętaj
remind,przypomnieć
remind of,przypomnieć o
remote,zdalny
removal,usuwanie
remove,usunąć
rent,wynajem
rented,wynajęty
repair,naprawic
repeat,powtarzać
repeated,powtarzający się
repeatedly,wielokrotnie
replace,zastąpić
reply,Odpowiadać
report,raport
represent,przedstawiać
representative,przedstawiciel
reproduce,rozmnażać się
reputation,reputacja
request,żądanie
require,wymagać
requirement,wymaganie
rescue,ratować
research,Badania
reservation,rezerwacja
reserve,rezerwa
resident,Mieszkaniec
resist,opierać się
resistance,odporność
resolve,rozwiązać
resort,Ośrodek wczasowy
resort to,udać się do
resource,ratunek
respect,szacunek
respond,zareagować
response,odpowiedź
responsibility,odpowiedzialność
responsible,odpowiedzialny
rest,odpoczynek
restaurant,restauracja
restore,przywracać
restrict,ograniczać
restricted,ograniczony
restriction,ograniczenie
result,wynik
result in,skutkować w
retain,zachować
retire,przejść na emeryturę
retired,na emeryturze
retirement,przejście na emeryturę
return,powrót
reveal,odsłonić
reverse,rewers
review,przejrzeć
revise,Poprawić
revision,rewizja
revolution,rewolucja
reward,nagroda
rhythm,rytm
rice,Ryż
rich,bogaty
rid,pozbyć się
ride,jazda
rider,jeździec
ridiculous,śmieszny
riding,jazda konna
right,dobrze
rightly,słusznie
ring,pierścień
ring back,oddzwonienie
rise,wzrost
risk,ryzyko
rival,rywalizować
river,rzeka
road,Droga
rob,obrabować
rock,skała
role,rola
roll,rolka
romantic,romantyczny
roof,dach
room,Pokój
root,korzeń
rope,lina
rough,szorstki
roughly,w przybliżeniu
round,okrągły
rounded,bułczasty
route,trasa
routine,rutyna
row,rzęd
royal,królewski
rub,pocierać
rubber,gumowy
rubbish,śmieci
rude,niegrzeczny
rudely,niegrzecznie
ruin,ruina
ruined,zrujnowany
rule,reguła
rule out,wykluczyć
ruler,linijka
rumour,plotka
run,biegać
run after,uruchomić po
run away,uciec
runner,biegacz
running,bieganie
run out,skończyć się
run over,przejechać
run through,przebiec
rural,wiejski
rush,wysypka
sack,worek
sad,smutny
sadly,niestety
sadness,smutek
safe,bezpieczny
safely,bezpiecznie
safety,bezpieczeństwo
sail,żagiel
sailing,Żeglarstwo
sailor,marynarz
salad,Sałatka
salary,wynagrodzenie
sale,sprzedaż
salt,Sól
salty,słony
same,podobnie
sample,próba
sand,piasek
satisfaction,zadowolenie
satisfied,zadowolona
satisfy,usatysfakcjonować
satisfying,dogadzający
Saturday,sobota
sauce,sos
save,zapisać
saving,oszczędność
say,mówić
scale,skala
scare,przestraszyć
scared,przestraszony
scare off,odstraszyć
scene,scena
schedule,harmonogram
scheme,schemat
school,szkoła
science,nauka
scientific,naukowy
scientist,naukowiec
scissors,nożyce
score,wynik
scratch,zadraśnięcie
scream,krzyk
screen,ekran
screw,wkręt
sea,morze
seal,foka
seal off,odciąć
search,Szukaj
season,pora roku
seat,siedzenie
second,drugi
secondary,wtórny
secret,sekret
secretary,sekretarz
secretly,potajemnie
section,Sekcja
sector,sektor
secure,bezpieczne
security,bezpieczeństwo
see,widzieć
see about,zająć się
seed,nasionko
seek,szukać
seem,wydać się
see to,dopilnować
select,Wybierz
selection,wybór
self,samego siebie
self-,samego siebie-
sell,Sprzedać
sell off,wyprzedać
sell out,wyprzedać
senate,senat
senator,senator
send,wysłać
send for,wysłać do
send off,odesłać
senior,senior
sense,sens
sensible,rozsądny
sensitive,wrażliwy
sentence,zdanie
separate,oddzielny
separated,rozdzielony
separately,osobno
separation,separacja
September,wrzesień
series,seria
serious,poważny
seriously,poważnie
servant,sługa
serve,obsługiwać
service,usługa
session,sesja
set,zestaw
set off,wyruszać
set out,wyruszać
settle,rozstrzygać
settle down,ustatkować się
set up,Ustawiać
seven,siedem
seventeen,siedemnaście
seventh,siódmy
seventieth,siedemdziesiąty
seventy,siedemdziesiąt
several,kilka
severe,silny
severely,surowo
sew,szyć
sewing,szycie
sex,seks
sexual,seksualny
sexually,seksualnie
shade,cień
shadow,cień
shake,wstrząsać
shall,powinien
shallow,Płycizna
shame,wstyd
shape,kształt
shaped,kształcie
share,dzielić
sharp,ostry
sharply,ostro
shave,golić się
she,Ona
sheep,owca
sheet,arkusz
shelf,półka
shell,muszla
shelter,schron
shift,Zmiana
shine,połysk
shiny,błyszczący
ship,statek
shirt,koszula
shock,zaszokować
shocked,wstrząśnięty
shocking,wstrząsający
shoe,but
shoot,strzelać
shoot down,zestrzelić
shooting,strzelanie
shop,sklep
shopping,zakupy
short,krótki
shortly,wkrótce
shot,strzał
should,powinien
shoulder,ramię
shout,krzyczeć
show,pokazać
shower,prysznic
show off,popisujesz się
show round,oprowadzać
show up,pokazać się
shut,zamknąć
shut down,zamknąć
shut in,zamknąć
shut out,wykluczać
shut up,Zamknij się
shy,nieśmiały
sick,chory
side,bok
sideways,bokiem
sight,widok
sign,znak
signal,sygnał
signature,podpis
significant,znaczący
significantly,znacznie
silence,cisza
silent,cichy
silk,jedwab
silly,głupi
silver,srebro
similar,podobny
similarly,podobnie
simple,prosty
simply,po prostu
since,od
sincere,szczery
sincerely,Z poważaniem
sing,śpiewać
singer,piosenkarz
singing,śpiewanie
single,pojedynczy
sink,tonąć
sir,Pan
sister,siostra
sit,siedzieć
sit down,Usiądź
site,teren
situation,sytuacja
six,sześć
sixteen,szesnaście
sixth,szósty
sixtieth,sześćdziesiąty
sixty,sześćdziesiąt
size,rozmiar
skilful,umiejętny
skilfully,umiejętnie
skill,umiejętność
skilled,wykwalifikowany
skin,skóra
skirt,Spódnica
sky,niebo
sleep,sen
sleeve,rękaw
slice,plasterek
slide,ślizgać się
slight,niewielki
slightly,nieco
slip,poślizg
slope,nachylenie
slow,powolny
slowly,powoli
small,mały
smart,mądry
smash,rozbić
smell,zapach
smile,uśmiech
smoke,palić
smoking,palenie
smooth,gładki
smoothly,płynnie
snake,wąż
snow,śnieg
so,więc
soap,mydło
social,społeczny
socially,społecznie
society,społeczeństwo
sock,skarpetka
soft,miękki
softly,delikatnie
software,oprogramowanie
soil,gleba
soldier,żołnierz
solid,solidny
solution,rozwiązanie
solve,rozwiązać
some,trochę
somebody,ktoś
somehow,jakoś
someone,ktoś
something,coś
sometimes,czasami
somewhat,nieco
somewhere,gdzieś
son,syn
song,piosenka
soon,wkrótce
sore,ból
sorry,Przepraszam
sort,sortować
sort out,uporządkować
soul,dusza
sound,dźwięk
soup,zupa
sour,kwaśny
source,źródło
south,południe
southern,południowy
space,przestrzeń
spare,zapasowy
speak,mówić
speaker,głośnik
speak out,mówić otwarcie
speak up,mów głośniej
special,specjalny
specialist,specjalista
specially,specjalnie
specific,konkretny
specifically,konkretnie
speech,przemówienie
speed,prędkość
speed up,przyśpieszyć
spell,zaklęcie
spelling,pisownia
spend,wydać
spice,przyprawa
spicy,Pikantny
spider,pająk
spin,obracać
spirit,duch
spiritual,duchowy
spite,złość
split,rozdzielać
split up,rozdzielać się
spoil,zepsuć
spoken,Mówiony
spoon,łyżka
sport,sport
spot,miejsce
spray,rozpylać
spread,rozpiętość
spread out,rozrzucić
spring,wiosna
square,plac
squeeze,ściskać
stable,stabilny
staff,personel
stage,etap
stair,schodek
stamp,znaczek
stand,stoisko
standard,standard
stand back,Cofnij się
stand by,czekaj
stand for,oznaczać
stand out,wyróżniać się
stand up,Wstań
stand up for,stanąć w obronie
star,gwiazda
stare,gapić się
start,początek
start off,wyruszać
start out,ruszać w drogę
start up,rozpocząć
state,stan
statement,komunikat
station,stacja
statue,statua
status,status
stay,zostać
stay away,nie zbliżaj się
stay out of,trzymać z dala od
steadily,stale
steady,stały
steal,skraść
steam,parowy
steel,stal
steep,stromy
steeply,stromo
steer,sterować
step,krok
stick,kij
stick out,wystawać
stick to,trzymać się
stick up,trzymać się
sticky,lepki
stiff,sztywny
stiffly,twardo
still,nadal
sting,Żądło
stir,wymieszać
stock,Zbiory
stomach,żołądek
stone,kamień
stop,zatrzymać
store,sklep
storm,burza
story,fabuła
stove,kuchenka
straight,prosto
strain,odcedzić
strange,dziwne
strangely,dziwnie
stranger,nieznajomy
strategy,strategia
stream,strumień
street,ulica
strength,siła
stress,naprężenie
stressed,akcentowany
stretch,rozciągać
strict,ścisły
strictly,rygorystycznie
strike,strajk
striking,uderzający
string,strunowy
strip,rozebrać się
stripe,naszywka
striped,w paski
stroke,uderzenie
strong,silny
strongly,silnie
